ASCII SCAN ANALOG DATA:			04.10.19 24dmo3mb ei -8 200um 7.3-6 40c.sac
DATE:	04/10/2019	TIME:	11:30:33 PM
Number of stored SCA cycles			1
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  1.00
Scan Width	220
Values/Mass	64
Zoom Start	  1.00
Zoom End	221.00
Cycle	CycleDate	CycleTime	
1	04/10/2019	11:30:33:62 PM
ScanData	1
   1.00	8.53125E-010
   1.02	8.5625E-010
   1.03	8.46875E-010
   1.05	8.28125E-010
   1.06	7.9375E-010
   1.08	7.65625E-010
   1.09	7.40625E-010
   1.11	7.21875E-010
   1.13	7.0625E-010
   1.14	6.96875E-010
   1.16	6.9375E-010
   1.17	6.90625E-010
   1.19	7E-010
   1.20	7.0625E-010
   1.22	7.03125E-010
   1.23	6.90625E-010
   1.25	6.65625E-010
   1.27	6.40625E-010
   1.28	6.15625E-010
   1.30	5.90625E-010
   1.31	5.6875E-010
   1.33	5.46875E-010
   1.34	5.40625E-010
   1.36	5.34375E-010
   1.38	5.25E-010
   1.39	5.09375E-010
   1.41	4.75E-010
   1.42	4.34375E-010
   1.44	4.03125E-010
   1.45	3.78125E-010
   1.47	3.5E-010
   1.48	3.1875E-010
   1.50	2.96875E-010
   1.52	2.84375E-010
   1.53	2.78125E-010
   1.55	2.75E-010
   1.56	2.75E-010
   1.58	2.71875E-010
   1.59	2.6875E-010
   1.61	2.625E-010
   1.63	2.5625E-010
   1.64	2.53125E-010
   1.66	2.5E-010
   1.67	2.4375E-010
   1.69	2.40625E-010
   1.70	2.34375E-010
   1.72	2.34375E-010
   1.73	2.34375E-010
   1.75	2.375E-010
   1.77	2.4375E-010
   1.78	2.4375E-010
   1.80	2.46875E-010
   1.81	2.46875E-010
   1.83	2.4375E-010
   1.84	2.375E-010
   1.86	2.34375E-010
   1.88	2.28125E-010
   1.89	2.21875E-010
   1.91	2.1875E-010
   1.92	2.09375E-010
   1.94	2.03125E-010
   1.95	1.96875E-010
   1.97	1.9375E-010
   1.98	1.90625E-010
   2.00	1.90625E-010
   2.02	1.9375E-010
   2.03	1.9375E-010
   2.05	2E-010
