ASCII SCAN ANALOG DATA:			03.10.19 24dmo3mb2 ei -8 200um 9.5-6 45c.sac
DATE:	03/10/2019	TIME:	16:10:07 PM
Number of stored SCA cycles			1
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  1.00
Scan Width	220
Values/Mass	64
Zoom Start	  1.00
Zoom End	221.00
Cycle	CycleDate	CycleTime	
1	03/10/2019	16:10:07:57 PM
ScanData	1
   1.00	1.6125E-009
   1.02	1.60625E-009
   1.03	1.57187E-009
   1.05	1.50625E-009
   1.06	1.44375E-009
   1.08	1.39375E-009
   1.09	1.34687E-009
   1.11	1.29687E-009
   1.13	1.24687E-009
   1.14	1.2125E-009
   1.16	1.19375E-009
   1.17	1.1875E-009
   1.19	1.2E-009
   1.20	1.225E-009
   1.22	1.2375E-009
   1.23	1.21562E-009
   1.25	1.18125E-009
   1.27	1.14062E-009
   1.28	1.10312E-009
   1.30	1.05313E-009
   1.31	9.8125E-010
   1.33	9.21875E-010
   1.34	9.03125E-010
   1.36	9.03125E-010
   1.38	9.03125E-010
   1.39	8.84375E-010
   1.41	8.4375E-010
   1.42	7.84375E-010
   1.44	7.21875E-010
   1.45	6.65625E-010
   1.47	6.0625E-010
   1.48	5.40625E-010
   1.50	4.84375E-010
   1.52	4.5E-010
   1.53	4.375E-010
   1.55	4.4375E-010
   1.56	4.46875E-010
   1.58	4.4375E-010
   1.59	4.40625E-010
   1.61	4.34375E-010
   1.63	4.28125E-010
   1.64	4.21875E-010
   1.66	4.09375E-010
   1.67	3.9375E-010
   1.69	3.75E-010
   1.70	3.59375E-010
   1.72	3.53125E-010
   1.73	3.5E-010
   1.75	3.53125E-010
   1.77	3.5E-010
   1.78	3.53125E-010
   1.80	3.59375E-010
   1.81	3.625E-010
   1.83	3.6875E-010
   1.84	3.65625E-010
   1.86	3.59375E-010
   1.88	3.46875E-010
   1.89	3.375E-010
   1.91	3.21875E-010
   1.92	3.03125E-010
   1.94	2.90625E-010
   1.95	2.84375E-010
   1.97	2.84375E-010
   1.98	2.875E-010
   2.00	2.90625E-010
   2.02	2.875E-010
   2.03	2.8125E-010
