ASCII SCAN ANALOG DATA:			03.09.19 3eo4mob ei -8 200um 8.6-6 45c.sac
DATE:	03/09/2019	TIME:	10:56:41 PM
Number of stored SCA cycles			1
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  1.00
Scan Width	220
Values/Mass	64
Zoom Start	  1.00
Zoom End	221.00
Cycle	CycleDate	CycleTime	
1	03/09/2019	10:56:42:14 PM
ScanData	1
   1.00	8.84375E-010
   1.02	8.8125E-010
   1.03	8.65625E-010
   1.05	8.3125E-010
   1.06	7.9375E-010
   1.08	7.40625E-010
   1.09	6.96875E-010
   1.11	6.625E-010
   1.13	6.34375E-010
   1.14	6.21875E-010
   1.16	6.1875E-010
   1.17	6.21875E-010
   1.19	6.34375E-010
   1.20	6.4375E-010
   1.22	6.375E-010
   1.23	6.15625E-010
   1.25	5.78125E-010
   1.27	5.40625E-010
   1.28	5.0625E-010
   1.30	4.71875E-010
   1.31	4.375E-010
   1.33	4.15625E-010
   1.34	4E-010
   1.36	3.9375E-010
   1.38	3.8125E-010
   1.39	3.6875E-010
   1.41	3.5E-010
   1.42	3.3125E-010
   1.44	3.15625E-010
   1.45	3.0625E-010
   1.47	2.9375E-010
   1.48	2.78125E-010
   1.50	2.625E-010
   1.52	2.53125E-010
   1.53	2.4375E-010
   1.55	2.34375E-010
   1.56	2.28125E-010
   1.58	2.21875E-010
   1.59	2.15625E-010
   1.61	2.125E-010
   1.63	2.09375E-010
   1.64	2E-010
   1.66	1.96875E-010
   1.67	1.90625E-010
   1.69	1.875E-010
   1.70	1.875E-010
   1.72	1.875E-010
   1.73	1.90625E-010
   1.75	1.90625E-010
   1.77	1.9375E-010
   1.78	1.9375E-010
   1.80	1.96875E-010
   1.81	2E-010
   1.83	2.03125E-010
   1.84	2.0625E-010
   1.86	2E-010
   1.88	1.96875E-010
   1.89	1.90625E-010
   1.91	1.84375E-010
   1.92	1.8125E-010
   1.94	1.78125E-010
   1.95	1.75E-010
   1.97	1.71875E-010
   1.98	1.71875E-010
   2.00	1.78125E-010
   2.02	1.8125E-010
   2.03	1.84375E-010
   2.05	1.90625E-010
