ASCII SCAN ANALOG DATA:			10.10.19 26dmob ei -8 200um 7.2-6 45c.sac
DATE:	10/10/2019	TIME:	16:00:24 PM
Number of stored SCA cycles			1
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  1.00
Scan Width	220
Values/Mass	64
Zoom Start	  1.00
Zoom End	221.00
Cycle	CycleDate	CycleTime	
1	10/10/2019	16:00:24:59 PM
ScanData	1
   1.00	1.56875E-009
   1.02	1.57187E-009
   1.03	1.54062E-009
   1.05	1.49687E-009
   1.06	1.475E-009
   1.08	1.46875E-009
   1.09	1.475E-009
   1.11	1.48125E-009
   1.13	1.48437E-009
   1.14	1.4875E-009
   1.16	1.49062E-009
   1.17	1.48437E-009
   1.19	1.47812E-009
   1.20	1.45625E-009
   1.22	1.42812E-009
   1.23	1.36875E-009
   1.25	1.275E-009
   1.27	1.1875E-009
   1.28	1.13437E-009
   1.30	1.1125E-009
   1.31	1.08437E-009
   1.33	1.06562E-009
   1.34	1.07187E-009
   1.36	1.06562E-009
   1.38	1.01563E-009
   1.39	9.5E-010
   1.41	8.71875E-010
   1.42	7.8125E-010
   1.44	6.9375E-010
   1.45	6.25E-010
   1.47	5.46875E-010
   1.48	4.59375E-010
   1.50	3.84375E-010
   1.52	3.40625E-010
   1.53	3.125E-010
   1.55	2.96875E-010
   1.56	2.90625E-010
   1.58	2.875E-010
   1.59	2.875E-010
   1.61	2.9375E-010
   1.63	2.96875E-010
   1.64	3.03125E-010
   1.66	3.125E-010
   1.67	3.1875E-010
   1.69	3.21875E-010
   1.70	3.28125E-010
   1.72	3.375E-010
   1.73	3.5E-010
   1.75	3.5625E-010
   1.77	3.65625E-010
   1.78	3.78125E-010
   1.80	3.90625E-010
   1.81	3.90625E-010
   1.83	3.8125E-010
   1.84	3.6875E-010
   1.86	3.5625E-010
   1.88	3.4375E-010
   1.89	3.375E-010
   1.91	3.28125E-010
   1.92	3.15625E-010
   1.94	2.96875E-010
   1.95	2.8125E-010
   1.97	2.71875E-010
   1.98	2.625E-010
   2.00	2.5625E-010
   2.02	2.5625E-010
   2.03	2.59375E-010
   2.05	2.65625E-010
