ASCII SCAN ANALOG DATA:			05.09.19 methyl 4-formylbenzoate ei -8 200um 8.1-6 35c.sac
DATE:	05/09/2019	TIME:	10:37:20 PM
Number of stored SCA cycles			1
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  1.00
Scan Width	220
Values/Mass	64
Zoom Start	  1.00
Zoom End	221.00
Cycle	CycleDate	CycleTime	
1	05/09/2019	10:37:20:65 PM
ScanData	1
   1.00	1.4625E-009
   1.02	1.45312E-009
   1.03	1.42187E-009
   1.05	1.35625E-009
   1.06	1.28125E-009
   1.08	1.20937E-009
   1.09	1.14062E-009
   1.11	1.07812E-009
   1.13	1.01875E-009
   1.14	9.78125E-010
   1.16	9.53125E-010
   1.17	9.375E-010
   1.19	9.375E-010
   1.20	9.5E-010
   1.22	9.59375E-010
   1.23	9.21875E-010
   1.25	8.65625E-010
   1.27	8.0625E-010
   1.28	7.4375E-010
   1.30	6.75E-010
   1.31	6.125E-010
   1.33	5.71875E-010
   1.34	5.5E-010
   1.36	5.40625E-010
   1.38	5.28125E-010
   1.39	5.15625E-010
   1.41	4.84375E-010
   1.42	4.5E-010
   1.44	4.1875E-010
   1.45	4E-010
   1.47	3.8125E-010
   1.48	3.625E-010
   1.50	3.40625E-010
   1.52	3.1875E-010
   1.53	3.0625E-010
   1.55	2.9375E-010
   1.56	2.84375E-010
   1.58	2.75E-010
   1.59	2.65625E-010
   1.61	2.53125E-010
   1.63	2.40625E-010
   1.64	2.375E-010
   1.66	2.3125E-010
   1.67	2.21875E-010
   1.69	2.1875E-010
   1.70	2.1875E-010
   1.72	2.21875E-010
   1.73	2.21875E-010
   1.75	2.21875E-010
   1.77	2.25E-010
   1.78	2.28125E-010
   1.80	2.3125E-010
   1.81	2.375E-010
   1.83	2.375E-010
   1.84	2.40625E-010
   1.86	2.375E-010
   1.88	2.34375E-010
   1.89	2.28125E-010
   1.91	2.21875E-010
   1.92	2.09375E-010
   1.94	2E-010
   1.95	1.9375E-010
   1.97	1.90625E-010
   1.98	1.9375E-010
   2.00	1.96875E-010
   2.02	2.0625E-010
   2.03	2.15625E-010
   2.05	2.25E-010
